"chrom","start","end","enhancerStrength"
"chr8",128714197,128714247,0.628977051198273
"chr8",128734683,128734733,0.505313937429528
"chr8",128740281,128740331,0.585157169553228
"chr8",128754862,128754912,0.150835448659325
"chr8",128760720,128760770,0.626246935359491
"chr8",128764833,128764883,0.451728529904975
"chr8",128776583,128776633,0.523642100872861
"chr8",128777614,128777664,0.550702050725556
"chr8",128781017,128781067,0.415302392683759
"chr8",128784846,128784896,0.620006485606315
"chr8",128788423,128788473,0.566324932786328
"chr8",128790441,128790491,0.530366453535368
"chr8",128795283,128795333,0.387517012664363
"chr8",128796356,128796406,0.707187380744705
"chr8",128798381,128798431,0.342746778954651
"chr8",128802626,128802676,0.374201890003347
"chr8",128809016,128809066,0.538703808809091
"chr8",128809102,128809152,0.735739905540219
"chr8",128810509,128810559,0.339153232295451
"chr8",128815435,128815485,0.373113263765857
"chr8",128817596,128817646,0.514646400785398
"chr8",128826664,128826714,0.57693917352714
"chr8",128830073,128830123,0.613700035553528
"chr8",128835071,128835121,0.556293267231647
"chr8",128846721,128846771,0.321514100457653
