"chrom","start","end","enhancerStrength"
"chr8",128705957,128706007,0.427686622713424
"chr8",128715812,128715862,0.652060382512941
"chr8",128718220,128718270,0.567139004379618
"chr8",128728140,128728190,0.521345072391993
"chr8",128728720,128728770,0.598871056247958
"chr8",128729605,128729655,0.675470614722479
"chr8",128737219,128737269,0.299542550663097
"chr8",128738475,128738525,0.60069987314372
"chr8",128746332,128746382,0.564109800354794
"chr8",128757253,128757303,0.625147611386553
"chr8",128774214,128774264,0.412973946819816
"chr8",128775381,128775431,0.7771708417073
"chr8",128779778,128779828,0.278781244240629
"chr8",128780741,128780791,0.19686634336526
"chr8",128787353,128787403,0.688823250640722
"chr8",128795897,128795947,0.516984723443395
"chr8",128796964,128797014,0.453872343857244
"chr8",128812395,128812445,0.293499718215539
"chr8",128816201,128816251,0.461400516142764
"chr8",128827708,128827758,0.407546482016898
"chr8",128827992,128828042,0.859864052656937
"chr8",128828817,128828867,0.572915380751597
"chr8",128830758,128830808,0.556786787058642
"chr8",128839521,128839571,0.642271778329635
"chr8",128846236,128846286,0.352854171915773
