"chrom","start","end","enhancerStrength"
"chr8",128706292,128706342,0.132388523014407
"chr8",128712452,128712502,0.530338955092165
"chr8",128716406,128716456,0.565011777961034
"chr8",128716711,128716761,0.43789230360256
"chr8",128725509,128725559,0.536521033904235
"chr8",128726520,128726570,0.556923492508702
"chr8",128732953,128733003,0.340065578696317
"chr8",128740986,128741036,0.722545128919112
"chr8",128743563,128743613,0.619257735852046
"chr8",128756414,128756464,0.747137955815194
"chr8",128760118,128760168,0.534198442398429
"chr8",128761237,128761287,0.481586817050472
"chr8",128762754,128762804,0.579935788215604
"chr8",128769406,128769456,0.649648430971868
"chr8",128771610,128771660,0.480995324566717
"chr8",128799175,128799225,0.697102176909812
"chr8",128803578,128803628,0.457806506391088
"chr8",128815403,128815453,0.567288311659001
"chr8",128816330,128816380,0.8042573388069
"chr8",128817448,128817498,0.670568941604443
"chr8",128825631,128825681,0.547362730903188
"chr8",128833675,128833725,0.562179099392874
"chr8",128837019,128837069,0.450341678376015
"chr8",128838519,128838569,0.428602316684413
"chr8",128842362,128842412,0.286865360307712
