"chrom","start","end","enhancerStrength"
"chr8",128704177,128704227,0.497296261966658
"chr8",128705522,128705572,0.193280300032301
"chr8",128706122,128706172,0.422574157869749
"chr8",128707039,128707089,0.42565552709019
"chr8",128708356,128708406,0.261416122555845
"chr8",128710935,128710985,0.3315982486222
"chr8",128724480,128724530,0.705213340314489
"chr8",128734211,128734261,0.249698376699217
"chr8",128737968,128738018,0.452919262945562
"chr8",128738707,128738757,0.336515392764794
"chr8",128739703,128739753,0.410028581422478
"chr8",128746162,128746212,0.61704499158105
"chr8",128747830,128747880,0.498272193601095
"chr8",128760366,128760416,0.723023567620943
"chr8",128763118,128763168,0.487899032815417
"chr8",128770883,128770933,0.428615700187267
"chr8",128771533,128771583,0.509871483549322
"chr8",128779206,128779256,0.380077627671458
"chr8",128785126,128785176,0.59059568171428
"chr8",128794825,128794875,0.239420036792748
"chr8",128811651,128811701,0.111962386705594
"chr8",128815199,128815249,0.555841696622163
"chr8",128826101,128826151,0.803004614225754
"chr8",128829039,128829089,0.643320268083547
"chr8",128841780,128841830,0.590896802876439
