"chrom","start","end","enhancerStrength"
"chr8",128708750,128708800,0.604282314464368
"chr8",128715481,128715531,0.269381554815596
"chr8",128719328,128719378,0.251761323190766
"chr8",128721054,128721104,0.776831934455942
"chr8",128722460,128722510,0.503842761516263
"chr8",128723671,128723721,0.410571470541938
"chr8",128725948,128725998,0.643776965462208
"chr8",128737128,128737178,0.36335998572373
"chr8",128740225,128740275,0.562720107789229
"chr8",128744796,128744846,0.564358204829182
"chr8",128756541,128756591,0.225787236234702
"chr8",128756560,128756610,0.345927246744904
"chr8",128761595,128761645,0.430959954822836
"chr8",128770838,128770888,0.352365597515314
"chr8",128771417,128771467,0.480664182483532
"chr8",128774628,128774678,0.691259279463028
"chr8",128774782,128774832,0.229189036210255
"chr8",128792182,128792232,0.415422358575357
"chr8",128795504,128795554,0.616270695223503
"chr8",128796975,128797025,0.389384762860007
"chr8",128801394,128801444,0.517645244025568
"chr8",128810557,128810607,0.837841488216982
"chr8",128810670,128810720,0.699871044793171
"chr8",128825282,128825332,0.572207177681618
"chr8",128837586,128837636,0.537433963601074
