"chrom","start","end","enhancerStrength"
"chr8",128703437,128703487,0.374490122518093
"chr8",128708574,128708624,0.349534885467144
"chr8",128720453,128720503,0.556909242122411
"chr8",128726304,128726354,0.664970410581228
"chr8",128737755,128737805,0.474170957530756
"chr8",128745803,128745853,0.719829558000714
"chr8",128754637,128754687,0.404285858056146
"chr8",128755401,128755451,0.439417454296339
"chr8",128773699,128773749,0.394642713658279
"chr8",128779274,128779324,0.479343160614453
"chr8",128780464,128780514,0.442626899460957
"chr8",128783830,128783880,0.411423811613628
"chr8",128784092,128784142,0.272164796345002
"chr8",128791011,128791061,0.434186759985967
"chr8",128792977,128793027,0.369804766540735
"chr8",128806222,128806272,0.631544427948626
"chr8",128808482,128808532,0.56776062395681
"chr8",128812691,128812741,0.68725049378853
"chr8",128818206,128818256,0.315943870583243
"chr8",128825576,128825626,0.447611091804054
"chr8",128826907,128826957,0.562608713749395
"chr8",128833431,128833481,0.461770621748984
"chr8",128835224,128835274,0.335108813359738
"chr8",128844565,128844615,0.581392433788165
"chr8",128850299,128850349,0.760331834492588
