"chrom","start","end","enhancerStrength"
"chr8",128722663,128722713,0.292276092851144
"chr8",128726249,128726299,0.297668472903379
"chr8",128732264,128732314,0.416346138253163
"chr8",128736366,128736416,0.405838584533638
"chr8",128739340,128739390,0.363378615081695
"chr8",128754095,128754145,0.629319436021874
"chr8",128754445,128754495,0.721337851947582
"chr8",128762140,128762190,0.358102958060493
"chr8",128763641,128763691,0.410294936161444
"chr8",128774310,128774360,0.537227682122358
"chr8",128778704,128778754,0.601577585379395
"chr8",128785617,128785667,0.219749054494592
"chr8",128787441,128787491,0.604209904476229
"chr8",128793623,128793673,0.56710191571976
"chr8",128797201,128797251,0.611009673504751
"chr8",128800445,128800495,0.719455690540112
"chr8",128804178,128804228,0.269168813535335
"chr8",128807163,128807213,0.609164969504516
"chr8",128808660,128808710,0.259841273908606
"chr8",128813701,128813751,0.411503234546471
"chr8",128817904,128817954,0.465409633876559
"chr8",128823164,128823214,0.451407998184492
"chr8",128835484,128835534,0.685049844459916
"chr8",128836343,128836393,0.378435536215375
"chr8",128848090,128848140,0.325137225147366
