"chrom","start","end","enhancerStrength"
"chr8",128706045,128706095,0.482032713070026
"chr8",128714081,128714131,0.588568779673182
"chr8",128714286,128714336,0.743398405170367
"chr8",128718701,128718751,0.707385081557085
"chr8",128733449,128733499,0.35261322021942
"chr8",128758744,128758794,0.783942199350438
"chr8",128760321,128760371,0.258575876660644
"chr8",128768003,128768053,0.45558816127509
"chr8",128784798,128784848,0.506413783907481
"chr8",128788599,128788649,0.594395578988007
"chr8",128789792,128789842,0.437857639877573
"chr8",128791489,128791539,0.697886104253692
"chr8",128800587,128800637,0.701992557665559
"chr8",128801533,128801583,0.372643978277899
"chr8",128804476,128804526,0.618536018238443
"chr8",128805739,128805789,0.505491824606282
"chr8",128811097,128811147,0.632894537875106
"chr8",128824231,128824281,0.358796621223303
"chr8",128830439,128830489,0.737794136975955
"chr8",128832434,128832484,0.558257647402869
"chr8",128834851,128834901,0.354740537679639
"chr8",128844258,128844308,0.407178053476671
"chr8",128845735,128845785,0.530258007629097
"chr8",128847333,128847383,0.482594097552252
"chr8",128853426,128853476,0.40518311383646
