"chrom","start","end","enhancerStrength"
"chr8",128708037,128708087,0.454942251917496
"chr8",128714267,128714317,0.481457545236817
"chr8",128728838,128728888,0.60710535652418
"chr8",128737696,128737746,0.226597686935122
"chr8",128737955,128738005,0.507866081206375
"chr8",128739980,128740030,0.599193902893754
"chr8",128741881,128741931,0.520166518933445
"chr8",128755265,128755315,0.361530801361019
"chr8",128758825,128758875,0.610204014015954
"chr8",128761155,128761205,0.687828944196657
"chr8",128765010,128765060,0.559816266148133
"chr8",128768127,128768177,0.405638192498935
"chr8",128770089,128770139,0.308251881645225
"chr8",128785226,128785276,0.52281500851235
"chr8",128785455,128785505,0.328938118067368
"chr8",128789737,128789787,0.227446139502834
"chr8",128798713,128798763,0.0905854527011476
"chr8",128798792,128798842,0.411401514047041
"chr8",128804734,128804784,0.668948061048715
"chr8",128813805,128813855,0.409716029477751
"chr8",128815631,128815681,0.324667899049509
"chr8",128824712,128824762,0.416388714429532
"chr8",128836398,128836448,0.741778667113697
"chr8",128842906,128842956,0.528312446803113
"chr8",128848285,128848335,0.375480252429663
