"chrom","start","end","enhancerStrength"
"chr8",128705402,128705452,0.685469521044989
"chr8",128705692,128705742,0.395232980650455
"chr8",128710297,128710347,0.46527394237009
"chr8",128724836,128724886,0.526309732884749
"chr8",128730862,128730912,0.768039740668195
"chr8",128737412,128737462,0.572062236237544
"chr8",128739796,128739846,0.420549327044135
"chr8",128745004,128745054,0.466432472497408
"chr8",128757364,128757414,0.534229336280119
"chr8",128765144,128765194,0.612148830783903
"chr8",128768749,128768799,0.365980845719233
"chr8",128775477,128775527,0.567452142335985
"chr8",128782433,128782483,0.28092402194298
"chr8",128800109,128800159,0.528759029012232
"chr8",128805555,128805605,0.403211785662607
"chr8",128805949,128805999,0.520982093856616
"chr8",128811128,128811178,0.71263608498983
"chr8",128822090,128822140,0.662457947136194
"chr8",128830493,128830543,0.682873102240769
"chr8",128832141,128832191,0.872314252114822
"chr8",128836070,128836120,0.682908454774438
"chr8",128839950,128840000,0.58761127110358
"chr8",128850709,128850759,0.494947840970975
"chr8",128851104,128851154,0.350673228725148
"chr8",128851679,128851729,0.460551975037793
