"rawScores","guideScore","log2_rate_ratio","repl1_fc","repl2_fc","chrom","start","end","label"
-0.0490042760090496,-0.0490042760090496,-0.162788681244076,-0.265183396977743,0.167174844959643,"chr1",2010,2030,"chr"
0.115255696958937,0.115255696958937,0.382871137823716,0.0996475613401833,0.13086383257769,"chr1",2030,2050,"chr"
0.162941644147556,0.162941644147556,0.541280425520905,0.117210047552323,0.208673240742789,"chr1",2050,2070,"chr"
-0.127858685842512,-0.127858685842512,-0.424737360675619,-0.119029676670188,-0.136687695014837,"chr1",2070,2090,"chr"
-0.0412558746079324,-0.0412558746079324,-0.137049048939241,-0.00496806601630824,-0.0775436831995566,"chr1",2090,2110,"chr"
-0.112876233008005,-0.112876233008005,-0.374966729674344,-0.368039132238499,0.142286666222489,"chr1",2110,2130,"chr"
-0.063759838076702,-0.063759838076702,-0.211805597432466,0.0234515926243975,-0.150971268777802,"chr1",2130,2150,"chr"
0.102846155317046,0.102846155317046,0.341647532798845,0.265815981832906,-0.0601236711988132,"chr1",2150,2170,"chr"
0.230496469731845,0.230496469731845,0.765692698574571,0.430455946779354,0.0305369926843368,"chr1",2170,2190,"chr"
0.188042187029942,0.188042187029942,0.624662624118827,0.256789624341571,0.119294749718312,"chr1",2190,2210,"chr"
0.149989782397701,0.149989782397701,0.498255272092966,0.0670818481585178,0.232897716636885,"chr1",2210,2230,"chr"
0.132267413540551,0.132267413540551,0.439382837078443,-0.0629957798622618,0.327530606943364,"chr1",2230,2250,"chr"
0.11114026961615,0.11114026961615,0.369199984111246,0.241245272181383,-0.0189647329490817,"chr1",2250,2270,"chr"
-0.114521326504207,-0.114521326504207,-0.380431611978095,-0.103200468724797,-0.125842184283618,"chr1",2270,2290,"chr"
0.0501379263924805,0.0501379263924805,0.166554586302576,0.0718470898809561,0.028428762904005,"chr1",2290,2310,"chr"
0.128834285949643,0.128834285949643,0.427978234080871,0.16893204518978,0.0887365267095061,"chr1",2310,2330,"chr"
-0.0914644438259616,-0.0914644438259616,-0.303838305628709,-0.106596811026787,-0.076332076625136,"chr1",2330,2350,"chr"
0.324194599115603,0.324194599115603,1.07695114701287,0.145881536179857,0.502507662051349,"chr1",2350,2370,"chr"
0.0267232514192411,0.0267232514192411,0.0887727196763157,-0.0675087999807867,0.120955302819269,"chr1",2370,2390,"chr"
0.0739637003866716,0.0739637003866716,0.245702094316316,0.132749327868319,0.0151780729050244,"chr1",2390,2410,"chr"
-0.233889190596223,-0.233889190596223,-0.77696307333206,-0.183312147147824,-0.284466234044623,"chr1",2410,2430,"chr"
-0.0771231520177379,-0.0771231520177379,-0.256197565453992,-0.219048657355272,0.0648023533197963,"chr1",2430,2450,"chr"
0.233329557893757,0.233329557893757,0.775104013734917,0.607962444344679,-0.141303328557166,"chr1",2450,2470,"chr"
0.287151716320702,0.287151716320702,0.953897353940866,0.502665727061571,0.0716377055798323,"chr1",2470,2490,"chr"
-0.0582256579944116,-0.0582256579944116,-0.193421449134939,0.109339271449092,-0.225790587437915,"chr1",2490,2510,"chr"
0.198908707896003,0.198908707896003,0.660760425077477,0.100830810062746,0.296986605729261,"chr1",2510,2530,"chr"
0.0531254066663459,0.0531254066663459,0.176478780957251,-0.0686599990748476,0.174910812407539,"chr1",2530,2550,"chr"
-0.12506085403088,-0.12506085403088,-0.415443164575787,-0.194348423543089,-0.0557732845186705,"chr1",2550,2570,"chr"
0.0713069241113535,0.0713069241113535,0.236876474565506,0.218224890249065,-0.0756110420263582,"chr1",2570,2590,"chr"
-0.0899580774984921,-0.0899580774984921,-0.298834265004296,-0.27828916782483,0.0983730128278457,"chr1",2590,2610,"chr"
-0.0588786612775406,-0.0588786612775406,-0.195590679087219,0.0264446414870885,-0.14420196404217,"chr1",2610,2630,"chr"
-0.0147222481607606,-0.0147222481607606,-0.0489062497851346,-0.0706901141231432,0.0412456178016219,"chr1",2630,2650,"chr"
-0.180866875835853,-0.180866875835853,-0.600826756273625,-0.216319992975103,-0.145413758696604,"chr1",2650,2670,"chr"
-0.085518443898346,-0.085518443898346,-0.284086121416964,0.0452322054637394,-0.216269093260431,"chr1",2670,2690,"chr"
0.245046222862855,0.245046222862855,0.814025932274148,0.0495010365427309,0.440591409182979,"chr1",2690,2710,"chr"
-0.0272636889777886,-0.0272636889777886,-0.0905680143855867,0.0615690017392653,-0.116096379694842,"chr1",2710,2730,"chr"
0.528522867623689,0.528522867623689,1.75571496274957,0.724701288441905,0.332344446805474,"chr1",2730,2750,"chr"
0.0777456175446625,0.0777456175446625,0.258265351175982,-0.0309191286020854,0.18641036369141,"chr1",2750,2770,"chr"
0.0292845188001248,0.0292845188001248,0.0972810657473918,0.0491257054474433,0.00944333215280638,"chr1",2770,2790,"chr"
0.274041882182679,0.274041882182679,0.910347427598453,0.0452157679460048,0.502867996419352,"chr1",2790,2810,"chr"
