"rawScores","guideScore","log2_rate_ratio","repl1_bf","repl2_bf","chrom","start","end","label"
-5.34419287936073,-5.34419287936073,1,-4.48534970871203,-0.858843170648697,"chr1",2010,2030,"chr"
-3.52127648317554,-3.52127648317554,1,-1.81302383855427,-1.70825264462126,"chr1",2030,2050,"chr"
-2.76723633077081,-2.76723633077081,1,-1.84328449322405,-0.923951837546756,"chr1",2050,2070,"chr"
-7.43214222246959,-7.43214222246959,1,-3.65982025465533,-3.77232196781427,"chr1",2070,2090,"chr"
-2.79422252960518,-2.79422252960518,1,-1.15265260490885,-1.64156992469633,"chr1",2090,2110,"chr"
-7.34432708093184,-7.34432708093184,1,-5.98575772626324,-1.3585693546686,"chr1",2110,2130,"chr"
-5.65279705760616,-5.65279705760616,1,-2.00984639921065,-3.64295065839551,"chr1",2130,2150,"chr"
-3.86188672120479,-3.86188672120479,1,-0.352661433786437,-3.50922528741836,"chr1",2150,2170,"chr"
-0.804690929622542,-0.804690929622542,1,1.36197085016009,-2.16666177978263,"chr1",2170,2190,"chr"
-0.870022224950169,-0.870022224950169,1,0.170002181669705,-1.04002440661987,"chr1",2190,2210,"chr"
-2.39366197339545,-2.39366197339545,1,-1.89002794058659,-0.503634032808858,"chr1",2210,2230,"chr"
-4.20415846058297,-4.20415846058297,1,-3.90899077723687,-0.295167683346097,"chr1",2230,2250,"chr"
-3.60491844908799,-3.60491844908799,1,-0.376777921780789,-3.2281405273072,"chr1",2250,2270,"chr"
-8.17199354732908,-8.17199354732908,1,-3.72309893071691,-4.44889461661217,"chr1",2270,2290,"chr"
-3.80867516919543,-3.80867516919543,1,-1.61679374861364,-2.19188142058179,"chr1",2290,2310,"chr"
-2.01829657742265,-2.01829657742265,1,-0.702899452508568,-1.31539712491408,"chr1",2310,2330,"chr"
-4.95752564398252,-4.95752564398252,1,-2.48082132742158,-2.47670431656094,"chr1",2330,2350,"chr"
1.93519609068376,1.93519609068376,1,-0.34417161353799,2.27936770422175,"chr1",2350,2370,"chr"
-3.25619052513784,-3.25619052513784,1,-2.3009954812908,-0.955195043847043,"chr1",2370,2390,"chr"
-3.04754503898698,-3.04754503898698,1,-0.941011642517978,-2.106533396469,"chr1",2390,2410,"chr"
-5.11233360137639,-5.11233360137639,1,-1.68072906916812,-3.43160453220827,"chr1",2410,2430,"chr"
-3.02564839333905,-3.02564839333905,1,-2.60023981096142,-0.425408582377631,"chr1",2430,2450,"chr"
-1.17344610936289,-1.17344610936289,1,2.54679459040746,-3.72024069977035,"chr1",2450,2470,"chr"
2.02912909676689,2.02912909676689,1,2.47049135411697,-0.441362257350081,"chr1",2470,2490,"chr"
-1.11060922157721,-1.11060922157721,1,0.967835420823999,-2.07844464240121,"chr1",2490,2510,"chr"
0.223582704631017,0.223582704631017,1,-0.777164463090713,1.00074716772173,"chr1",2510,2530,"chr"
-4.47547571949505,-4.47547571949505,1,-3.37231990452888,-1.10315581496617,"chr1",2530,2550,"chr"
-1.95255504720677,-1.95255504720677,1,-1.79968945657851,-0.152865590628259,"chr1",2550,2570,"chr"
-4.88305355153991,-4.88305355153991,1,-0.94763173711344,-3.93542181442647,"chr1",2570,2590,"chr"
-7.22665023585114,-7.22665023585114,1,-5.18347239685448,-2.04317783899666,"chr1",2590,2610,"chr"
-4.76495308717059,-4.76495308717059,1,-1.65370140021721,-3.11125168695338,"chr1",2610,2630,"chr"
-4.97327759033409,-4.97327759033409,1,-2.86840800293243,-2.10486958740165,"chr1",2630,2650,"chr"
-8.38172432548332,-8.38172432548332,1,-4.47112657534759,-3.91059775013573,"chr1",2650,2670,"chr"
-2.71067025166643,-2.71067025166643,1,-0.316577414173635,-2.3940928374928,"chr1",2670,2690,"chr"
-0.203330106423648,-0.203330106423648,1,-1.6300685588161,1.42673845239245,"chr1",2690,2710,"chr"
